normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc,product_id,run_id,product_kind,attr_brand,attr_dosage_form,attr_dosage,attr_administration_route,semantic_explanation,qwen_search_status,qwen_search_mnn
"СПАЗМОФАРМ Р-Р ДЛЯ В/М ВВЕД. 500МГ/МЛ+2МГ/МЛ+0,02МГ/МЛ АМП. 5МЛ №10 | ВетПром АД | ВетПром АД",,rx,,,Метамизол натрия + Питофенон + Фенпивериния бромид,rx,,,Метамизол натрия,rx,,,"Метамизол натрия, Питофенон, Фенпивериния бромид",rx,6000,343,drug,Спазмофарм,раствор,"500 мг/мл + 2 мг/мл + 0,02 мг/мл",внутримышечно,"Препарат — раствор для внутримышечного введения, содержащий три компонента в мг/мл, но их названия в тексте не указаны. Название и форма указывают на спазмолитическое средство, а производитель ВетПром позволяет предположить ветеринарное применение.",found,метамизол натрия + питофенон + фенпивериния бромид
СИНУСЭФРИН СПРЕЙ НАЗ. ФЛ. 15МЛ | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО,,otc,Дексаметазон + Неомицин + Полимиксин B + Фенилэфрин,rx,Дексаметазон* + Неомицин* + Полимиксин B* + Фенилэфрин,rx,"Неомицин, Полимиксин В, Дексаметазон, Фенилэфрин",rx,,rx,,,"Дексаметазон, Неомицин, Фенилэфрин, Полимиксин B",rx,6569,344,drug,Синусэфрин,спрей,,назальный,"В тексте указаны торговое название, лекарственная форма и путь введения, но не указано действующее вещество, поэтому МНН не заполнен. Препарат относится к типичным безрецептурным назальным средствам от насморка.",found,Дексаметазон + Неомицин + Полимиксин B + Фенилэфрин
СИНТОМИЦИН ЛИНИМЕНТ 10% ТУБА 25Г НИЖФАРМ | НИЖФАРМ ОА | НИЖФАРМ ОА,,otc,"D,L-хлорамфеникол",otc,"Хлорамфеникол [D,L]",rx,,,Хлорамфеникол,rx,,,"Хлорамфеникол [D,L]",rx,6583,344,drug,Синтомицин,,10%,наружно,"Торговое наименование «Синтомицин», лекарственная форма — линимент 10% в тубе 25 г. Средство применяется наружно, отпускается без рецепта. В названии нет однозначного МНН, поэтому mnn не указан.",found,Хлорамфеникол
"СИНАФЛАН МАЗЬ Д/НАРУЖ. ПРИМ. 0,025% ТУБА 10Г МУРОМСКИЙ ПСЗ | МУРОМСКИЙ ПЗ | МУРОМСКИЙ ПЗ",,rx,Флуоцинолона ацетонид,otc,Флуоцинолона ацетонид,otc,Флуоцинолона ацетонид,,Флуоцинолона ацетонид,otc,,,Флуоцинолона ацетонид,otc,6613,344,drug,Синафлан,мазь,"0,025%",наружно,"Препарат Синафлан представлен как мазь для наружного применения с концентрацией 0,025%. Указана форма выпуска в тубе 10 г. Является монопрепаратом без явных детских сигналов, поэтому возрастной сегмент — взрослые.",found,Флуоцинолона ацетонид
СИАЛОР (ПРОТАРГОЛ) 2% 10МЛ ТАБЛЕТКА+РАСТВОРИТЕЛЬ КАПЛИ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,otc,Серебра протеинат,otc,Серебра протеинат,otc,Серебра протеинат,,Серебра протеинат,otc,,,Серебра протеинат,otc,6872,345,drug,Сиалор,таблетки,2%,назальный,"Сиалор (Протаргол) содержит серебра протеинат и применяется интраназально как антисептик при ЛОР-заболеваниях. Отпускается без рецепта, возрастной сигнал отсутствует, поэтому выбран сегмент взрослые.",found,серебра протеинат
СИАВЕЛЛ ТАБЛ. П/ПЛЕН/ОБ. 20МГ №1 | Велфарм ООО | Велфарм ООО,,rx,Тадалафил,rx,,,,,Тадалафил,rx,,,Тадалафил,rx,6877,345,drug,Сиавелл,таблетки,20 мг,перорально,"В тексте указаны торговое название «Сиавелл», форма «таблетки, покрытые пленочной оболочкой», дозировка 20 мг и упаковка №1. Действующее вещество не названо, поэтому mnn не заполнен; препарат относится к урологическим средствам и принимается внутрь.",found,тадалафил
"СЕПТОЛЕТЕ ТОТАЛ ТАБЛ. Д/РАССАС. 3МГ+1МГ ЛИМОН-БУЗИНА №8 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",,безрецептурный,Бензидамин+Цетилпиридиния хлорид,otc,Цетилпиридиния хлорид*+бензидамин,otc,"Цетилпиридиния хлорид, Бензидамин",,Цетилпиридиния хлорид,otc,,,"Цетилпиридиния хлорид, Бензидамин",otc,6937,345,drug,Септолете Тотал,таблетки,3 мг + 1 мг,перорально,"В тексте указаны торговое наименование, форма, дозировка и количество в упаковке. Действующие вещества явно не названы, поэтому МНН не заполнено. Препарат относится к безрецептурным средствам для горла.",found,бензидамин + цетилпиридиния хлорид
САНДРА ТАБЛ. П/ЯЗЫЧН. ГОМЕОП. 250МГ №30 | ВИЛАР ФАРМЦЕНТР | ВИЛАР ФАРМЦЕНТР,,otc,,,,otc,,,,otc,,,,otc,7283,345,drug,Сандра,таблетки,250 мг,сублингвально,"В названии указаны гомеопатические подъязычные таблетки Сандра, 250 мг, №30. Действующее вещество не приведено, поэтому МНН и показание не определены; возрастной сигнал отсутствует.",not_found,
"РИНОМАРИС СПРЕЙ НАЗ. 0,1% ФЛ. 15МЛ | ЯДРАН-ГАЛЕНСКИ ЛАБОРАТОРИЙ А.О. | ЯДРАН-ГАЛЕНСКИ ЛАБОРАТОРИЙ А.О.",,otc,Ксилометазолин,otc,Ксилометазолин,otc,"Натрия гиалуронат, Ксилометазолин",,Ксилометазолин,otc,,,Ксилометазолин,otc,8018,346,drug,Риномарис,спрей,"0,1%",назальный,"Товар идентифицирован как назальный спрей Риномарис с концентрацией 0,1%. Действующее вещество не указано в тексте, поэтому МНН оставлен пустым. Препарат относится к деконгестантам, применяется назально, у взрослых.",found,Ксилометазолин
РИНИКОЛД ХОТКАП ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ ЛИМОН САШЕ 5Г №10 | ШРЕЯ ЛАЙФ САЕНСИЗ ПВТ.ЛТД | ШРЕЯ ЛАЙФ САЕНСИЗ ПВТ.ЛТД,,otc,Кофеин + Парацетамол + Фенилэфрин + Фенирамин,otc,,,"Парацетамол, Кофеин, Фенирамин, Фенилэфрин",,,otc,,,"Кофеин, Парацетамол, Фенилэфрин, Фенирамин",otc,8030,346,drug,Риниколд Хоткап,порошок,5 г,перорально,"Комбинированный препарат для симптоматического лечения простуды и ОРВИ, выпускается в виде порошка для приема внутрь. В тексте не указаны действующие вещества, поэтому МНН оставлено пустым. Отпускается без рецепта.",found,Кофеин+Парацетамол+Фенилэфрин+Фенирамин
РИНЗА КИДС ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ МАЛИНА ПАК-САШЕ ПО 3Г №10 | ЮНИК ФАРМАСЬЮТИКАЛ ЛАБОРАТОРИЗ (ОТДЕЛЕНИЕ ФИРМЫ ДЖ.Б.КЕМИКАЛС ЭНД ФАРМАСЬЮТИКАЛС ЛТД) | ЮНИК ФАРМАСЬЮТИКАЛ ЛАБОРАТОРИЗ (ОТДЕЛЕНИЕ ФИРМЫ ДЖ.Б.КЕМИКАЛС ЭНД ФАРМАСЬЮТИКАЛС ЛТД),,безрецептурный,Парацетамол + Фенилэфрин + Аскорбиновая кислота,otc,Парацетамол* + Фенирамин* + Аскорбиновая кислота,otc,"Парацетамол, Аскорбиновая кислота, Фенирамин",,Парацетамол,otc,,,"Парацетамол, Аскорбиновая кислота, Фенирамин",otc,8048,346,drug,Ринза Кидс,порошок,,перорально,"Препарат для детей от простуды и ОРВИ в форме порошка для приготовления раствора для приема внутрь. В тексте не указано действующее вещество, поэтому МНН не заполнен; сигнал «кидс» указывает на детский возраст.",found,Paracetamol + Pheniramine + Ascorbic acid
РИНГЕР-СОЛОФАРМ Р-Р Д/ИНФ. ФЛ. ПОЛИПРОП. 500МЛ №20 ГРОТЕКС | ГРОТЕКС ООО | ГРОТЕКС ООО,,rx,Натрия хлорида раствор сложный [Калия хлорид + Кальция хлорид + Натрия хлорид],rx,Калия хлорид+Кальция хлорид+Натрия хлорид,rx,,,Натрия хлорида раствор сложный,rx,,,"Натрия хлорид, Калия хлорид, Кальция хлорид",rx,8050,346,drug,Рингер-Солофарм,раствор,500 мл,внутривенно,"Препарат идентифицирован по названию как раствор Рингера для инфузий во флаконах по 500 мл №20. Действующие вещества в тексте не перечислены, поэтому МНН не указан. Средство относится к инфузионным электролитным растворам для внутривенного введения.",not_found,
"РЕСТАСИС КАПЛИ ГЛАЗН. 0,05% ФЛ. 0,4МЛ №30 | АЛЛЕРГАН СЕЙЛС ЛЛС | АЛЛЕРГАН СЕЙЛС ЛЛС",,рецептурный,Циклоспорин,rx,Циклоспорин,rx,Циклоспорин,rx,Циклоспорин,rx,,,Циклоспорин,rx,8173,346,drug,Рестасис,капли,"0,05%",офтальмологический,"В тексте указано торговое наименование Рестасис, лекарственная форма и дозировка, но МНН явно не приведено. Препарат относится к глазным каплям, отпускается по рецепту. Возрастных уточнений нет, поэтому сегмент указан как взрослые.",found,циклоспорин
РЕННИ ТАБЛ. ЖЕВ. С АПЕЛЬСИНОВЫМ ВКУСОМ 680МГ+80МГ №48 | ДЕЛФАРМ ГАЙЯРД | ДЕЛФАРМ ГАЙЯРД,,otc,,,Кальция карбонат + Магния карбонат,otc,"Кальция карбонат, Магния карбонат",,Кальция карбонат,otc,,,"Кальция карбонат, Магния карбонат",otc,8231,346,drug,Ренни,таблетки жевательные,680 мг + 80 мг,перорально,"Ренни — безрецептурный антацидный препарат в форме жевательных таблеток. В тексте указаны два компонента (680 мг + 80 мг), поэтому это комбинированный препарат. Возраст явно не указан, поэтому типично для взрослых.",found,кальция карбонат + магния гидроксикарбонат
РЕАФЕРОН-ЕС ЛИОФ. Д/Р-РА Д/ИН. И МЕСТН. ПРИМ. 3МЛН МЕ АМП. №5 | ВЕКТОР-МЕДИКА АО | ВЕКТОР-МЕДИКА АО,,рецептурный,Интерферон альфа-2b человеческий рекомбинантный,rx,Интерферон альфа-2b,rx,Интерферон альфа-2b,rx,Интерферон альфа-2b,rx,,,Интерферон альфа-2b,rx,8431,347,drug,Реаферон-ЕС,лиофилизат,3 млн МЕ,инъекционное,"Препарат Реаферон-ЕС представляет собой лиофилизат для приготовления раствора для инъекций и местного применения в дозировке 3 млн МЕ, в ампулах №5. Действующее вещество в тексте явно не указано, поэтому МНН не заполняется. Это рецептурное иммуномодулирующее и противовирусное средство, типично применяемое у взрослых.",found,Интерферон альфа-2b
РАМНИПРАЗОЛ ТАБЛ. КИШ-РАСТ. П/О 10МГ №28 | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,рамнипразол,rx,Рабепразол,otc,,,Рабепразол,,,,,,Рабепразол,,8516,347,drug,,таблетки,10 мг,перорально,"В названии указано действующее вещество рамнипразол, форма — таблетки кишечнорастворимые, покрытые оболочкой, дозировка 10 мг, упаковка №28. Препарат относится к желудочно-кишечным средствам, применяется перорально.",found,рабепразол
РАЛЕФ ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,,rx,Лефлуномид,rx,,,,,Лефлуномид,rx,,,Лефлуномид,rx,8551,347,drug,Ралеф,таблетки,20 мг,перорально,"По названию РАЛЕФ и дозировке 20 мг идентифицирован лефлуномид (базисное противоревматическое средство). Форма и дозировка указаны в названии; препарат рецептурный, принимается внутрь.",found,лефлуномид
РАЗАГИЛИН МЕДИСОРБ ТАБЛ. 1МГ №30 | МЕДИСОРБ АО | МЕДИСОРБ АО,разагилин,рецептурный,Разагилин,rx,Разагилин,rx,Разагилин,rx,Разагилин,rx,,,Разагилин,rx,8558,347,drug,Разагилин Медисорб,таблетки,1 мг,перорально,"В тексте явно указан МНН разагилин, форма таблетки и дозировка 1 мг, упаковка №30. Это противопаркинсоническое средство для приёма внутрь, отпускается по рецепту. Возрастных сигналов нет, поэтому возрастной сегмент определён как взрослые.",found,разагилин
"ПУЛЬМИКОРТ СУСП.Д/ИНГАЛ. ДОЗИР. 0,25МГ/МЛ КОНТ. 2МЛ №20 | АСТРАЗЕНЕКА АБ | АСТРАЗЕНЕКА АБ",,rx,Будесонид,rx,Будесонид,rx,Будесонид,rx,Будесонид,rx,,,Будесонид,rx,8675,347,drug,ПУЛЬМИКОРТ,суспензия,"0,25 мг/мл",ингаляционно,"Препарат идентифицирован как бренд ПУЛЬМИКОРТ, но в тексте не указано действующее вещество, поэтому МНН не заполнен. Это ингаляционный глюкокортикостероид, отпускается по рецепту, форма выпуска — дозированная суспензия по 2 мл №20.",found,Будесонид
ПРОСТУДОКС ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ ЛИМОН 5Г №5 | СИНТЕЗ | СИНТЕЗ,,otc,Парацетамол + Фенилэфрин + Аскорбиновая кислота,otc,Парацетамол + Фенилэфрин + Аскорбиновая кислота,otc,"Парацетамол, Аскорбиновая кислота, Фенилэфрин",,Аскорбиновая кислота,otc,,,"Аскорбиновая кислота, Парацетамол, Фенилэфрин",otc,8736,348,drug,Простудокс,порошок,5 г,перорально,"В тексте указан порошок для приема внутрь «Простудокс» с лимоном, 5 г №5. Действующее вещество не приведено, поэтому МНН не заполнено. Препарат без детских сигналов, отпускается без рецепта.",found,Парацетамол+Фенилэфрин+Аскорбиновая кислота
"ПРОЛАТАН КАПЛИ ГЛАЗН. 0,005% ФЛ. 2,5МЛ №3 | СЕНТИСС ФАРМА ПВТ. ЛТД. | СЕНТИСС ФАРМА ПВТ. ЛТД.",,,Латанопрост,rx,Латанопрост,rx,Латанопрост,rx,Латанопрост,rx,,,Латанопрост,rx,8858,348,drug,Пролатан,капли,"0,005%",офтальмологический,"ПРОЛАТАН — торговое название глазных капель 0,005% во флаконах по 2,5 мл №3. Действующее вещество в тексте не указано, поэтому mnn и связанные с ним атрибуты не заполнены. Возрастной сигнал отсутствует, препарат типичный для взрослых.",found,латанопрост
ПРЕДУКТАЛ ОД КАПС. ПРОЛОНГ. 80МГ №30 | СЕРВЬЕ РУС ООО | СЕРВЬЕ РУС ООО,,рецептурный,Триметазидин,rx,Триметазидин,rx,Триметазидин,rx,Триметазидин,rx,,,Триметазидин,rx,9086,348,drug,Предуктал ОД,капсулы,80 мг,перорально,"Препарат распознан по торговому названию как кардиологическое средство в капсулах пролонгированного действия; МНН в тексте не указан, поэтому не заполнен. Указаны форма, дозировка и упаковка, типичное применение у взрослых, отпуск по рецепту.",not_found,
ПОДОРОЖНИКА СИРОП ФЛ. 100МЛ ВИФИТЕХ | ВИФИТЕХ | ВИФИТЕХ,Подорожника большого листьев экстракт,otc,,,,,,,,,,,,,9334,348,drug,,сироп,,перорально,"Препарат представляет собой сироп подорожника для приёма внутрь, применяется при кашле как отхаркивающее растительное средство. Явных детских указаний нет, поэтому возрастной сегмент определён как взрослые.",not_found,
ПЛЕНДИЛ ТАБЛ. ПРОЛОНГ. П/ПЛЕН/ОБ. 5МГ №30 | АСТРАЗЕНЕКА ФАРМАСЬЮТИКАЛЗ | АСТРАЗЕНЕКА ФАРМАСЬЮТИКАЛЗ,,rx,Фелодипин,rx,Фелодипин,rx,,,Фелодипин,rx,,,Фелодипин,rx,9379,348,drug,Плендил,таблетки,5 мг,перорально,"Препарат Плендил выпускается в форме таблеток пролонгированного действия с дозировкой 5 мг, упаковка №30. МНН в тексте не указано, поэтому поле mnn оставлено пустым. Препарат относится к сердечно-сосудистым лекарственным средствам, предположительно рецептурного отпуска.",found,фелодипин
ПЛАНИЖЕНС ЛЕВО ТАБЛ. П/О 150МКГ+30МКГ №21 | ФАРМАСИНТЕЗ-ТЮМЕНЬ ООО | ФАРМАСИНТЕЗ-ТЮМЕНЬ ООО,,rx,,,Левоноргестрел+Этинилэстрадиол,rx,,,Этинилэстрадиол,rx,,,"Этинилэстрадиол, Левоноргестрел",rx,9410,348,drug,ПЛАНИЖЕНС ЛЕВО,таблетки,150 мкг + 30 мкг,перорально,"Препарат ПЛАНИЖЕНС ЛЕВО представляет собой комбинированный оральный контрацептив в таблетках с дозировкой 150 мкг+30 мкг, упаковка №21. Действующие вещества прямо не указаны в тексте, поэтому МНН не заполнено. Препарат рецептурный, предназначен для взрослых.",found,левоноргестрел + этинилэстрадиол
"ПИТАВАСТОР ТАБЛ. П/ПЛЕН/ОБ. 4МГ №28 | ВАН ИН ФАРМ. КО., ЛТД. | ВАН ИН ФАРМ. КО., ЛТД.",,rx,Питавастатин,rx,Питавастатин,rx,,,Питавастатин,rx,,,Питавастатин,rx,9443,349,drug,Питавастор,таблетки,4 мг,перорально,"Текст содержит торговое название «Питавастор», МНН в явном виде не указан. Препарат относится к статинам, выпускается в виде таблеток по 4 мг в упаковке №28 и отпускается по рецепту.",found,питавастатин
ПИРАНТЕЛ ТАБЛ. 250МГ №3 ОКСФОРД | ОКСФОРД ЛАБОРАТОРИЗ ПВТ. ЛТД | ОКСФОРД ЛАБОРАТОРИЗ ПВТ. ЛТД,Пирантел,otc,Пирантел,rx,Пирантел,rx,,,Пирантел,otc,,,Пирантел,rx,9485,349,drug,Пирантел,таблетки,250 мг,перорально,"В названии и составе указан пирантел, что позволяет определить МНН и отнести средство к противоглистным препаратам. Лекарство выпускается в таблетках по 250 мг и принимается внутрь; упаковка содержит 3 таблетки. Возрастных указаний нет, поэтому выбран взрослый сегмент, отпуск из аптек — без рецепта.",found,Пирантел
ПИНОСОЛ СПРЕЙ НАЗ. ФЛ. 10МЛ | ФАРМАК ПАО | ФАРМАК ПАО,,otc,"Мяты Перечной Масло, Тимол, Эвкалиптовое Масло, Сосны Обыкновенной Масло, Гвайязулен",otc,,otc,,,,otc,,,"Мяты Перечной Масло, Тимол, Эвкалиптовое Масло, Сосны Обыкновенной Масло, Гвайязулен",otc,9514,349,drug,Пиносол,спрей,,назальный,"В тексте указано торговое наименование Пиносол, назальная форма и объём флакона. Действующее вещество не указано, поэтому МНН не заполнено. Типичный безрецептурный препарат для лечения насморка отнесён ко взрослой возрастной группе.",found,масло сосны горной + масло мяты перечной + масло эвкалиптовое + тимол + альфа-токоферола ацетат
ПИКАМИЛОН ТАБЛ. 50МГ №30 | ФАРМСТАНДАРТ-УФАВИТА ОАО | ФАРМСТАНДАРТ-УФАВИТА ОАО,Пикамилон,rx,Никотиноил гамма-аминомасляная кислота,rx,,,,,,,,,Никотиноил гамма-аминомасляная кислота,,9558,349,drug,,таблетки,50 мг,перорально,"Препарат содержит пикамилон, выпускается в таблетках по 50 мг, №30, для приема внутрь. Пикамилон относится к ноотропным средствам, применяемым преимущественно у взрослых.",found,Никотиноил гамма-аминомасляная кислота
ПИМАФУЦИН СУПП. ВАГ. 100МГ №3 | ТЕММЛЕР ИТАЛИА С.Р.Л | ТЕММЛЕР ИТАЛИА С.Р.Л,,otc,Натамицин,otc,,,,,Натамицин,otc,,,Натамицин,otc,9522,349,drug,Пимафуцин,,100 мг,ректально,"Текст явно указывает препарат Пимафуцин в форме вагинальных суппозиториев по 100 мг №3. Активное вещество в названии не приведено, поэтому МНН не заполнен. Препарат относится к противогрибковым средствам для вагинального применения.",found,Натамицин
ПЕРСЕН ТАБЛ. П/О №40 СОФАРМА | СОФАРМА | СОФАРМА,,безрецептурный,Валерианы лекарственной корневищ с корнями экстракт + Мелиссы лекарственной листьев экстракт + Мяты перечной листьев экстракт,otc,Валерианы лекарственной корневищ с корнями экстракт+Мелиссы лекарственной листьев экстракт+Мяты перечной листьев экстракт,otc,,,Валериана,otc,,,"Валерианы лекарственной корневищ с корнями экстракт, Мелиссы лекарственной листьев экстракт, Мяты перечной листьев экстракт",otc,9706,350,drug,Персен,таблетки,,перорально,"В тексте указаны бренд и лекарственная форма, но действующее вещество и дозировка не читаются. Персен является безрецептурным растительным седативным средством для приема внутрь. Упаковка содержит 40 таблеток.",found,экстракт валерианы + экстракт мелиссы + экстракт мяты перечной
ПЕНТОКСИФИЛЛИН КОНЦ. Д/Р-РА Д/ИНФ. 20МГ/МЛ АМП. 5МЛ №10 ВЕЛФАРМ | ВЕЛФАРМ ООО | ВЕЛФАРМ ООО,Пентоксифиллин,rx,,,,,,,,,,,,,9799,350,drug,,раствор,20 мг/мл,внутривенно,"Препарат содержит пентоксифиллин, является рецептурным и применяется инфузионно. Лекарственная форма — концентрат для приготовления раствора для инфузий концентрацией 20 мг/мл в ампулах по 5 мл №10. Возрастная группа — взрослые, так как детских указаний нет.",found,Пентоксифиллин
ПЕНТАЛГИН НЕО ТАБЛ. П/ПЛЕН/ОБ. №10 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,otc,Кофеин + Напроксен + Парацетамол,otc,Кофеин+Напроксен+Парацетамол,otc,,,Парацетамол,otc,,,"Парацетамол, Кофеин, Напроксен",otc,9821,350,drug,Пенталгин Нео,таблетки,,перорально,"Препарат Пенталгин Нео выпускается в форме таблеток, покрытых плёночной оболочкой, в упаковке №10. По названию и позиции относится к анальгетикам-антипиретикам, принимается внутрь. МНН в тексте не указано, поэтому оставлено пустым.",found,Кофеин+Напроксен+Парацетамол
ПАНТОКАЛЬЦИН ТАБЛ. 250МГ №50 | ВАЛЕНТА ФАРМ АО | ВАЛЕНТА ФАРМ АО,,rx,Гопантеновая кислота,rx,,,,,Гопантеновая кислота,rx,,,Гопантеновая кислота,rx,10098,350,drug,Пантокальцин,таблетки,250 мг,перорально,"Препарат Пантокальцин выпускается в таблетках по 250 мг, упаковка №50. Действующее вещество в тексте не указано, поэтому mnn не заполнен; по бренду и семейству средство относится к ноотропам, предположительно отпускается по рецепту и принимается внутрь.",not_found,
"ПАНАВИР Р-Р ДЛЯ В/В ВВЕД. 0,04МГ/МЛ АМП. 5МЛ №2 | ЭЛЛАРА ООО | ЭЛЛАРА ООО",,rx,Полисахариды побегов Solanum tuberosum,rx,Полисахариды побегов Solanum tuberosum,rx,,,Картофеля побегов сумма полисахаридов,rx,,,Полисахариды побегов Solanum tuberosum,rx,10183,350,drug,Панавир,раствор,"0,04 мг/мл",внутривенно,"Наименование указывает на бренд «Панавир» и лекарственную форму: раствор для внутривенного введения 0,04 мг/мл в ампулах. Действующее вещество как МНН явно не читается, поэтому МНН не заполнен. Это рецептурное противовирусное средство.",found,картофеля побегов сумма полисахаридов
ОМИТОКС ГАСТРО КАПС. 20МГ №30 | ШРЕЯ ЛАЙФ САЕНСИЗ ПВТ.ЛТД | ШРЕЯ ЛАЙФ САЕНСИЗ ПВТ.ЛТД,,rx,Омепразол,rx,Омепразол,rx,,,Омепразол,otc,,,Омепразол,rx,10526,351,drug,ОМИТОКС ГАСТРО,капсулы,20 мг,перорально,"В тексте указан торговый бренд ОМИТОКС ГАСТРО и форма выпуска — капсулы 20 мг №30, но действующее вещество явно не названо, поэтому МНН не заполнен. Препарат относится к ЖКТ-средствам, отпускается по рецепту и не содержит детских сигналов.",found,омепразол
"ОБЛЕПИХОВОЕ МАСЛО Д/ПРИЕМА ВНУТРЬ, МЕСТН. И НАРУЖ. ПРИМ. ФЛ. 100МЛ ТУЛЬСКАЯ ФФ | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО",Облепиховое масло,otc,,,,,,,,,,,,,11014,351,drug,,,,перорально,"Препарат представляет собой монокомпонентное облепиховое масло для приема внутрь, местного и наружного применения. Явного детского сигнала нет, поэтому возрастной сегмент — взрослые. Выпускается во флаконе 100 мл, отпускается без рецепта.",found,Облепихи крушиновидной плодов масло
НУРОФЕН ИНТЕНСИВ ТАБЛ. П/ПЛЕН/ОБ. 200МГ+500МГ №6 | РЕКИТТ БЕНКИЗЕР | РЕКИТТ БЕНКИЗЕР,,otc,,,Ибупрофен + Парацетамол,otc,,,Ибупрофен,otc,,,"Ибупрофен, Парацетамол",otc,11132,352,drug,Нурофен Интенсив,таблетки,200 мг + 500 мг,перорально,"Препарат Нурофен Интенсив идентифицирован как комбинированный анальгетик-антипиретик для приема внутрь. Форма выпуска и дозировка указаны в тексте явно. МНН не читается, поэтому оставлено пустым.",found,ибупрофен + парацетамол
НОРМОДИПИН ТАБЛ. 10МГ №30 | ГЕДЕОН РИХТЕР ОАО/ГЕДЕОН РИХТЕР-РУС АО | ГЕДЕОН РИХТЕР ОАО/ГЕДЕОН РИХТЕР-РУС АО,,rx,Амлодипин,rx,Амлодипин,rx,,,Амлодипин,rx,,,Амлодипин,rx,11198,352,drug,Нормодипин,таблетки,10 мг,перорально,"Препарат Нормодипин выпускается в таблетках по 10 мг, №30, принимается внутрь. Действующее вещество в тексте явно не указано, поэтому МНН не заполнен. Препарат относится к гипотензивным средствам, рецептурный, для взрослых.",not_found,
НОВОРАПИД ФЛЕКСПЕН Р-Р ДЛЯ В/В П/К ВВЕД. 100ЕД/МЛ КАРТРИДЖ 3МЛ №5+ШПРИЦ-РУЧКА | НОВО НОРДИКС А/С | НОВО НОРДИКС А/С,,rx,Инсулин аспарт,rx,Инсулин аспарт,rx,,,Инсулин аспарт,rx,,,Инсулин аспарт,rx,11465,352,drug,НовоРапид ФлексПен,раствор,100 ЕД/мл,внутривенно,"Это лекарственный препарат НовоРапид ФлексПен, раствор для внутривенного и подкожного введения в картриджах по 3 мл с дозировкой 100 ЕД/мл, в комплекте со шприц-ручкой. МНН в тексте явно не указан, поэтому не заполнен. Остальные атрибуты определены по названию, лекарственной форме и дозировке.",found,инсулин аспарт
НОВЕМА НАЙТ ТАБЛ. П/ПЛЕН/ОБ. 25МГ+220МГ №10 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,otc,,,Дифенгидрамин+Напроксен,otc,,,Дифенгидрамин,otc,,,"Дифенгидрамин, Напроксен",otc,11504,352,drug,НОВЕМА НАЙТ,таблетки,25 мг + 220 мг,перорально,"Препарат выпускается в форме таблеток, покрытых плёночной оболочкой, с дозировкой 25 мг + 220 мг в упаковке №10. Активные вещества в тексте не указаны, поэтому МНН не заполнен. Продукт предположительно относится к средствам для улучшения периферического кровообращения и применяется внутрь у взрослых.",not_found,
НИТРОКСОЛИН ТАБЛ. П/О 50МГ №50 АВЕКСИМА | АВЕКСИМА СИБИРЬ ООО/ИРБИТСКИЙ ХФЗ ОАО | АВЕКСИМА СИБИРЬ ООО/ИРБИТСКИЙ ХФЗ ОАО,Нитроксолин,рецептурный,Нитрофурантоин,rx,Аллопуринол,rx,,,Азитромицин,rx,,,,rx,11568,353,drug,Авексима,таблетки,50 мг,перорально,"Нитроксолин в тексте указан как действующее вещество (МНН), форма выпуска — таблетки в оболочке 50 мг. Препарат относится к уроантисептикам и принимается внутрь; явных детских указаний нет.",found,нитроксолин
НИМЕСУЛИД-ВЕРТЕКС ГЕЛЬ Д/НАРУЖ. ПРИМ. 1% ТУБА 20Г | ВЕРТЕКС АО | ВЕРТЕКС АО,Нимесулид,otc,Тадалафил,rx,Флуконазол,rx,Тербинафин,,Фенол и его производные,otc,,,,rx,11640,353,drug,Вертекс,гель,1%,наружно,"В названии явно указаны действующее вещество нимесулид, форма гель, концентрация 1% и упаковка туба 20 г; бренд «Вертекс» следует из названия и производителя. Препарат применяется наружно как НПВС, без детских указаний, поэтому возрастной сегмент — взрослые.",found,нимесулид
