product_id,normalized_text,normalized_text_full_v4_1,product_identity_text_v4_1,enrichment_query_text_v4_1,enrichment_query_disambiguator_v4_1,enrichment_retrieval_text_v4_1,brand_or_product_name_v4_1,dosage_form_v4_1,strength_v4_1,container_type_v4_1,unit_content_amount_v4_1,pack_unit_count_v4_1,pack_structure_v4_1,manufacturer_v4_1,product_name_raw_v4_1,manufacturer_prefix_raw_v4_1,product_name_remainder_raw_v4_1,product_name_recovery_status_v4_1,m5_0_label_norm_v4_identity_preserved,m5_0_label_norm_v4_query_appropriate,m5_0_label_norm_v4_notes,m5_1_resolution_status,m5_1_resolution_reason,review_stratum_v4_1,label_norm_v4_1_identity_preserved,label_norm_v4_1_query_appropriate,label_norm_v4_1_manufacturer_correct,label_norm_v4_1_pack_structure_correct,label_norm_v4_1_product_name_role_correct,label_norm_v4_1_notes
3759,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,"Фаспик; гранулы, для приготовления раствора для приема внутрь; 400 мг; пакет 3 г, N12; АБРИКОС; производитель: ЗАМБОН СВИТЦЕЛАНД ЛТД.","Фаспик; гранулы; 400 мг; пакет 3 г, N12; ЗАМБОН СВИТЦЕЛАНД ЛТД.",Фаспик гранулы 400 мг пакет 3 г N12 АБРИКОС,ЗАМБОН СВИТЦЕЛАНД ЛТД.,"Фаспик гранулы 400 мг пакет 3 г N12 АБРИКОС, ЗАМБОН СВИТЦЕЛАНД ЛТД.",Фаспик,гранулы,400 мг,пакет,3 г,N12,"пакет 3 г, N12",ЗАМБОН СВИТЦЕЛАНД ЛТД.,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,dosage_form_vocab_policy,,,,,,
3763,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,"5 ТРАВ УСПОКОИТЕЛЬНАЯ; настойка; флакон 250 мл, N1; производитель: ФАРМГРУПП ООО","5 трав успокоительная; настойка; флакон 250 мл, N1; ФАРМГРУПП ООО",5 трав успокоительная настойка флакон 250 мл N1,ФАРМГРУПП ООО,"5 трав успокоительная настойка флакон 250 мл N1, ФАРМГРУПП ООО",5 трав успокоительная,настойка,,флакон,250 мл,N1,"флакон 250 мл, N1",ФАРМГРУПП ООО,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ,ФАРМГРУПП,5 ТРАВ УСПОКОИТЕЛЬНАЯ,recovered,no,uncertain,"severity=critical; reason=brand_role_misattributed_and_product_name_loss; source_head=""ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ""; source_manufacturer=""ФАРМГРУПП ООО""; actual_brand=""Фармгрупп""; expected_brand=""5 трав успокоительная""; lost_tokens=""5 трав|успокоительная""; actual_query=""Фармгрупп настойка 250 мл""; expected_query=""5 трав успокоительная настойка флакон 250 мл""; action=""add_manufacturer_prefix_detection_and_name_recovery_rule""",resolved,Manufacturer prefix stripped from brand; remainder 5 трав успокоительная used. Query keeps remainder+настойка+флакон+250 мл; retrieval adds ФАРМГРУПП ООО. Flagged product_name_variant_needs_policy (no invented 'средство').,manufacturer_prefix_recovery,,,,,,
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,"Транексамовая Кислота; раствор, для инъекций; 50 мг/мл; ампула 5 мл, N10; производитель: МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП","Транексамовая Кислота; раствор; 50 мг/мл; ампула 5 мл, N10; МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП",Транексамовая Кислота раствор 50 мг/мл ампула 5 мл N10,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,"Транексамовая Кислота раствор 50 мг/мл ампула 5 мл N10, МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП",Транексамовая Кислота,раствор,50 мг/мл,ампула,5 мл,N10,"ампула 5 мл, N10",МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ МЭЗ,,,not_applicable,no,no,"severity=major; reason=unit_volume_and_container_lost; source_pack=""амп. 5 мл N10""; actual_pack=""N10""; expected=""амп. 5 мл N10""; action=""add_container_and_unit_content_fields""",resolved,Structured ампула + 5 мл + N10 from source АМП. 5МЛ №10. Strength 50 мг/мл kept.,m50_label_no,,,,,,
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,"Термикон; спрей, для наружного применения; 1%; флакон 30 г, N1; производитель: ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО","Термикон; спрей; 1%; флакон 30 г, N1; ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО",Термикон спрей 1% флакон 30 г N1,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,"Термикон спрей 1% флакон 30 г N1, ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО",Термикон,спрей,1%,флакон,30 г,N1,"флакон 30 г, N1",ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1%,,,not_applicable,uncertain,uncertain,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 30 г""; actual_pack=""30 г""; expected=""фл. 30 г; count=1""; action=""add_container_and_unit_content_fields""",resolved,Structured флакон + 30 г from source ФЛ. 30Г.,m50_label_uncertain,,,,,,
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,"Термикон; крем, для наружного применения; 1%; туба 15 г, N1; производитель: ЛЕККО ЗАО","Термикон; крем; 1%; туба 15 г, N1; ЛЕККО ЗАО",Термикон крем 1% туба 15 г N1,ЛЕККО ЗАО,"Термикон крем 1% туба 15 г N1, ЛЕККО ЗАО",Термикон,крем,1%,туба,15 г,N1,"туба 15 г, N1",ЛЕККО ЗАО,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1%,,,not_applicable,uncertain,uncertain,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 30 г""; actual_pack=""30 г""; expected=""фл. 30 г; count=1""; action=""add_container_and_unit_content_fields""",resolved,Structured туба + 15 г from actual source ТУБА 15Г. Reviewer note фл. 30 г was a copy-paste error.,m50_label_uncertain,,,,,,
5010,ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,Терафлекс; капсулы; 500 мг + 400 мг; N200; производитель: МАКИЗ-ФАРМА,Терафлекс; капсулы; 500 мг + 400 мг; N200; МАКИЗ-ФАРМА,Терафлекс капсулы 500 мг + 400 мг N200,МАКИЗ-ФАРМА,"Терафлекс капсулы 500 мг + 400 мг N200, МАКИЗ-ФАРМА",Терафлекс,капсулы,500 мг + 400 мг,unknown,,N200,N200,МАКИЗ-ФАРМА,ТЕРАФЛЕКС КАПС. 500МГ+400МГ МАКИЗ-ФАРМА,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,multi_component_strength_pack,,,,,,
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю; капсулы; 75 мг; N10; производитель: ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю; капсулы; 75 мг; N10; ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю капсулы 75 мг N10,ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,"Тамифлю капсулы 75 мг N10, ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.",Тамифлю,капсулы,75 мг,unknown,,N10,N10,ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,ТАМИФЛЮ КАПС. 75МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,retained_multi_entity_manufacturer,,,,,,
7625,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,"Росинсулин С Медсинтез; суспензия; 100 МЕ/мл; картридж 3 мл, N5; производитель: ЗАВОД МЕДСИНТЕЗ ООО","Росинсулин С Медсинтез; суспензия; 100 МЕ/мл; картридж 3 мл, N5; ЗАВОД МЕДСИНТЕЗ ООО",Росинсулин С Медсинтез суспензия 100 МЕ/мл картридж 3 мл N5,ЗАВОД МЕДСИНТЕЗ ООО,"Росинсулин С Медсинтез суспензия 100 МЕ/мл картридж 3 мл N5, ЗАВОД МЕДСИНТЕЗ ООО",Росинсулин С Медсинтез,суспензия,100 МЕ/мл,контейнер,3 мл,N5,"картридж 3 мл, N5",ЗАВОД МЕДСИНТЕЗ ООО,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,pack_container_amount_count,,,,,,
8055,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,"Римасопт ВМ; капли, глазные; 2 мг/мл + 5 мг/мл; флакон 5 мл, N1; производитель: Уорлд медицин илач сан. ве тидж. Аш","Римасопт ВМ; капли; 2 мг/мл + 5 мг/мл; флакон 5 мл, N1; Уорлд медицин илач сан. ве тидж. Аш",Римасопт ВМ капли 2 мг/мл + 5 мг/мл флакон 5 мл N1,Уорлд медицин илач сан. ве тидж. Аш,"Римасопт ВМ капли 2 мг/мл + 5 мг/мл флакон 5 мл N1, Уорлд медицин илач сан. ве тидж. Аш",Римасопт ВМ,капли,2 мг/мл + 5 мг/мл,флакон,5 мл,N1,"флакон 5 мл, N1",Уорлд медицин илач сан. ве тидж. Аш,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ,,,not_applicable,no,no,"severity=major; reason=unit_volume_and_container_lost; source_pack=""фл. 5 мл N1""; actual_pack=""N1""; expected=""фл. 5 мл N1""; action=""add_container_and_unit_content_fields""",resolved,Structured флакон + 5 мл + N1 from source ФЛ. 5МЛ №1. Multi-component strength kept.,m50_label_no,,,,,,
8753,ПРОСТАНОРМ ЭКСТРАКТ Д/ПРИЕМА ВНУТРЬ ЖИДК. ФЛ. 100МЛ | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО,"Простанорм; экстракт жидкий, для приема внутрь; флакон 100 мл, N1; производитель: ФАРМВИЛАР НПО ООО","Простанорм; раствор; флакон 100 мл, N1; ФАРМВИЛАР НПО ООО",Простанорм раствор флакон 100 мл N1,ФАРМВИЛАР НПО ООО,"Простанорм раствор флакон 100 мл N1, ФАРМВИЛАР НПО ООО",Простанорм,раствор,,флакон,100 мл,N1,"флакон 100 мл, N1",ФАРМВИЛАР НПО ООО,ПРОСТАНОРМ ЭКСТРАКТ Д/ПРИЕМА ВНУТРЬ ЖИДК,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,single_container_implicit_n1,,,,,,
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Пиона Реневал; настойка; флакон 25 мл, N1; производитель: ОБНОВЛЕНИЕ ПФК АО","Пиона Реневал; настойка; флакон 25 мл, N1; ОБНОВЛЕНИЕ ПФК АО",Пиона Реневал настойка флакон 25 мл N1,ОБНОВЛЕНИЕ ПФК АО,"Пиона Реневал настойка флакон 25 мл N1, ОБНОВЛЕНИЕ ПФК АО",Пиона Реневал,настойка,,флакон,25 мл,N1,"флакон 25 мл, N1",ОБНОВЛЕНИЕ ПФК АО,ПИОНА НАСТОЙКА РЕНЕВАЛ,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,single_container_implicit_n1,,,,,,
9941,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,Пародонтоцид; ополаскиватель; 250 мл; производитель: МОСКОВСКАЯ ФФ,Пародонтоцид; ополаскиватель; 250 мл; МОСКОВСКАЯ ФФ,Пародонтоцид ополаскиватель 250 мл,МОСКОВСКАЯ ФФ,"Пародонтоцид ополаскиватель 250 мл, МОСКОВСКАЯ ФФ",Пародонтоцид,ополаскиватель,,unknown,250 мл,,250 мл,МОСКОВСКАЯ ФФ,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,dosage_form_vocab_policy,,,,,,
12495,МУКОСАТ МАЗЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 30Г | ЗЕЛЕНАЯ ДУБРАВА ЗАО | ЗЕЛЕНАЯ ДУБРАВА ЗАО,"Мукосат; мазь, для наружного применения; 5%; туба 30 г, N1; производитель: ЗЕЛЕНАЯ ДУБРАВА ЗАО","Мукосат; мазь; 5%; туба 30 г, N1; ЗЕЛЕНАЯ ДУБРАВА ЗАО",Мукосат мазь 5% туба 30 г N1,ЗЕЛЕНАЯ ДУБРАВА ЗАО,"Мукосат мазь 5% туба 30 г N1, ЗЕЛЕНАЯ ДУБРАВА ЗАО",Мукосат,мазь,5%,туба,30 г,N1,"туба 30 г, N1",ЗЕЛЕНАЯ ДУБРАВА ЗАО,МУКОСАТ МАЗЬ Д/НАРУЖ. ПРИМ. 5%,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,single_container_implicit_n1,,,,,,
13125,МИКРОГИНОН ТАБЛ. П/О 150МКГ+30МКГ №21 | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,"Микрогинон; таблетки, покрытые оболочкой; 150 мкг + 30 мкг; N21; производитель: ДЕЛЬФАРМ ЛИЛЛЬ С.А.С",Микрогинон; таблетки; 150 мкг + 30 мкг; N21; ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,Микрогинон таблетки 150 мкг + 30 мкг N21,ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,"Микрогинон таблетки 150 мкг + 30 мкг N21, ДЕЛЬФАРМ ЛИЛЛЬ С.А.С",Микрогинон,таблетки,150 мкг + 30 мкг,unknown,,N21,N21,ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,МИКРОГИНОН ТАБЛ. П/О 150МКГ+30МКГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,multi_component_strength_pack,,,,,,
14758,"ЛОЗАРТАН Н ТАБЛ. П/ПЛЕН/ОБ. 12,5МГ+100МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО","Лозартан Н; таблетки, покрытые пленочной оболочкой; 12.5 мг + 100 мг; N30; производитель: ОЗОН ООО",Лозартан Н; таблетки; 12.5 мг + 100 мг; N30; ОЗОН ООО,Лозартан Н таблетки 12.5 мг + 100 мг N30,ОЗОН ООО,"Лозартан Н таблетки 12.5 мг + 100 мг N30, ОЗОН ООО",Лозартан Н,таблетки,12.5 мг + 100 мг,unknown,,N30,N30,ОЗОН ООО,"ЛОЗАРТАН Н ТАБЛ. П/ПЛЕН/ОБ. 12,5МГ+100МГ ОЗОН",,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,multi_component_strength_pack,,,,,,
15150,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Лидокаин Буфус; раствор, для инъекций; 100 мг/мл; ампула 2 мл, N10; производитель: ОБНОВЛЕНИЕ ПФК АО","Лидокаин Буфус; раствор; 100 мг/мл; ампула 2 мл, N10; ОБНОВЛЕНИЕ ПФК АО",Лидокаин Буфус раствор 100 мг/мл ампула 2 мл N10,ОБНОВЛЕНИЕ ПФК АО,"Лидокаин Буфус раствор 100 мг/мл ампула 2 мл N10, ОБНОВЛЕНИЕ ПФК АО",Лидокаин Буфус,раствор,100 мг/мл,ампула,2 мл,N10,"ампула 2 мл, N10",ОБНОВЛЕНИЕ ПФК АО,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ ОБНОВЛЕНИЕ,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,pack_container_amount_count,,,,,,
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,"Йод; раствор, для наружного применения, спиртовой; 5%; флакон 25 мл, N1; производитель: ГИППОКРАТ","Йод; раствор; 5%; флакон 25 мл, N1; ГИППОКРАТ",Йод раствор 5% флакон 25 мл N1,ГИППОКРАТ,"Йод раствор 5% флакон 25 мл N1, ГИППОКРАТ",Йод,раствор,5%,флакон,25 мл,N1,"флакон 25 мл, N1",ГИППОКРАТ,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ГИППОКРАТ,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,single_container_implicit_n1,,,,,,
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО","Дексаметазон-Крка; таблетки; 4 мг; N20; производитель: КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО","Дексаметазон-Крка; таблетки; 4 мг; N20; КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон-Крка таблетки 4 мг N20,"КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО","Дексаметазон-Крка таблетки 4 мг N20, КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон-Крка,таблетки,4 мг,unknown,,N20,N20,"КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,retained_multi_entity_manufacturer,,,,,,
20628,ДЕКСА-ГЕНТАМИЦИН КАПЛИ ГЛАЗН. ФЛ-КАП. 5МЛ | УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ | УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ,"Декса-Гентамицин; капли, глазные; флакон-капельница 5 мл, N1; производитель: УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ","Декса-Гентамицин; капли; флакон-капельница 5 мл, N1; УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ",Декса-Гентамицин капли флакон-капельница 5 мл N1,УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ,"Декса-Гентамицин капли флакон-капельница 5 мл N1, УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ",Декса-Гентамицин,капли,,флакон-капельница,5 мл,N1,"флакон-капельница 5 мл, N1",УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ,ДЕКСА-ГЕНТАМИЦИН КАПЛИ ГЛАЗН,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,single_container_implicit_n1,,,,,,
22468,"ВИДОРА МИКРО ТАБЛ. П/ПЛЕН/ОБ. 3МГ+0,02МГ №21+7 | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А. | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.","Видора Микро; таблетки, покрытые пленочной оболочкой; 3 мг + 0.02 мг; N21+7; производитель: ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.",Видора Микро; таблетки; 3 мг + 0.02 мг; N21+7; ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.,Видора Микро таблетки 3 мг + 0.02 мг N21+7,ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.,"Видора Микро таблетки 3 мг + 0.02 мг N21+7, ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.",Видора Микро,таблетки,3 мг + 0.02 мг,unknown,,N21+7,N21+7,ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.,"ВИДОРА МИКРО ТАБЛ. П/ПЛЕН/ОБ. 3МГ+0,02МГ",,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,multi_component_strength_pack,,,,,,
22548,ВЕЧЕРНЕЕ ВАЛЕРИАНА+МЯТА+МЕЛИССА ДРАЖЕ №50 ПАРАФАРМ | ПАРАФАРМ ООО | ПАРАФАРМ ООО,Вечернее Валериана+Мята+Мелисса; драже; N50; производитель: ПАРАФАРМ ООО,Вечернее Валериана+Мята+Мелисса; драже; N50; ПАРАФАРМ ООО,Вечернее Валериана+Мята+Мелисса драже N50,ПАРАФАРМ ООО,"Вечернее Валериана+Мята+Мелисса драже N50, ПАРАФАРМ ООО",Вечернее Валериана+Мята+Мелисса,драже,,unknown,,N50,N50,ПАРАФАРМ ООО,ВЕЧЕРНЕЕ ВАЛЕРИАНА+МЯТА+МЕЛИССА ДРАЖЕ ПАРАФАРМ,,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,dosage_form_vocab_policy,,,,,,
24255,"БЕЛОДЕРМ КРЕМ Д/НАРУЖ. ПРИМ. 0,05% ТУБА 30Г | БЕЛУПО | БЕЛУПО","Белодерм; крем, для наружного применения; 0.05%; туба 30 г, N1; производитель: БЕЛУПО","Белодерм; крем; 0.05%; туба 30 г, N1; БЕЛУПО",Белодерм крем 0.05% туба 30 г N1,БЕЛУПО,"Белодерм крем 0.05% туба 30 г N1, БЕЛУПО",Белодерм,крем,0.05%,туба,30 г,N1,"туба 30 г, N1",БЕЛУПО,"БЕЛОДЕРМ КРЕМ Д/НАРУЖ. ПРИМ. 0,05%",,,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,single_container_implicit_n1,,,,,,
