product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,enrichment_query_disambiguator_v4,brand_or_product_name_v4,dosage_form_v4,strength_v4,pack_v4,manufacturer_v4,normalization_flags_v4,normalization_warnings_v4,manufacturer_dedup_count_v4,pack_dedup_count_v4,review_stratum_v4,label_norm_v4_identity_preserved,label_norm_v4_query_appropriate,label_norm_v4_manufacturer_correct,label_norm_v4_notes,
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,"ТЕРМИКОН; спрей, для наружного применения; 1%; 30 г; производитель: ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО",Термикон; спрей; 1%; 30 г; ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Термикон спрей 1% 30 г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Термикон,спрей,1%,30 г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,manufacturer_deduped,,1,0,fill_flagged,uncertain,uncertain,yes,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 30 г""; actual_pack=""30 г""; expected=""фл. 30 г; count=1""; action=""add_container_and_unit_content_fields""",
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,"ТЕРМИКОН; крем, для наружного применения; 1%; 15 г; производитель: ЛЕККО ЗАО",Термикон; крем; 1%; 15 г; ЛЕККО ЗАО,Термикон крем 1% 15 г,ЛЕККО ЗАО,Термикон,крем,1%,15 г,ЛЕККО ЗАО,manufacturer_deduped,,1,0,manufacturer_duplicates,uncertain,uncertain,yes,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 30 г""; actual_pack=""30 г""; expected=""фл. 30 г; count=1""; action=""add_container_and_unit_content_fields""",
5010,ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,ТЕРАФЛЕКС; капсулы; 500 мг + 400 мг; N200; производитель: МАКИЗ-ФАРМА,Терафлекс; капсулы; 500 мг + 400 мг; N200; МАКИЗ-ФАРМА,Терафлекс капсулы 500 мг + 400 мг N200,МАКИЗ-ФАРМА,Терафлекс,капсулы,500 мг + 400 мг,N200,МАКИЗ-ФАРМА,multi_component_strength|manufacturer_deduped,,2,0,multi_component_strength,yes,yes,yes,,
5258,"ТАМСУЛОЗИН КАНОН КАПС. КИШ/РАСТ. ПРОЛОНГ. ВЫСВ. 0,4МГ №30 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО","ТАМСУЛОЗИН КАНОН; капсулы, кишечнорастворимые, с пролонгированным высвобождением; 0.4 мг; N30; производитель: КАНОНФАРМА ПРОДАКШН ЗАО",Тамсулозин Канон; капсулы; 0.4 мг; N30; КАНОНФАРМА ПРОДАКШН ЗАО,Тамсулозин Канон капсулы 0.4 мг N30,КАНОНФАРМА ПРОДАКШН ЗАО,Тамсулозин Канон,капсулы,0.4 мг,N30,КАНОНФАРМА ПРОДАКШН ЗАО,manufacturer_deduped,,1,0,manufacturer_duplicates,yes,yes,yes,,
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,ТАМОКСИФЕН; таблетки; 20 мг; N30; производитель: ОЗОН ООО,Тамоксифен; таблетки; 20 мг; N30; ОЗОН ООО,Тамоксифен таблетки 20 мг N30,ОЗОН ООО,Тамоксифен,таблетки,20 мг,N30,ОЗОН ООО,manufacturer_deduped,,2,0,fill_flagged,yes,yes,yes,,
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,ТАМИФЛЮ; капсулы; 75 мг; N10; производитель: ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю; капсулы; 75 мг; N10; ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю капсулы 75 мг N10,ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю,капсулы,75 мг,N10,ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,manufacturer_deduped|manufacturer_multi_entity,slash-separated manufacturer/MAH entities retained as one string,1,0,distinct_manufacturer_segments,yes,yes,yes,,
8055,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,"РИМАСОПТ ВМ; капли, глазные; 2 мг/мл + 5 мг/мл; 5 мл; N1; производитель: Уорлд медицин илач сан. ве тидж. Аш",Римасопт ВМ; капли; 2 мг/мл + 5 мг/мл; N1; Уорлд медицин илач сан. ве тидж. Аш,Римасопт ВМ капли 2 мг/мл + 5 мг/мл N1,Уорлд медицин илач сан. ве тидж. Аш,Римасопт ВМ,капли,2 мг/мл + 5 мг/мл,N1,Уорлд медицин илач сан. ве тидж. Аш,multi_component_strength|manufacturer_deduped,,1,0,multi_component_strength,no,no,yes,"severity=major; reason=unit_volume_and_container_lost; source_pack=""фл. 5 мл N1""; actual_pack=""N1""; expected=""фл. 5 мл N1""; action=""add_container_and_unit_content_fields""",
13125,МИКРОГИНОН ТАБЛ. П/О 150МКГ+30МКГ №21 | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,"МИКРОГИНОН; таблетки, покрытые оболочкой; 150 мкг + 30 мкг; N21; производитель: ДЕЛЬФАРМ ЛИЛЛЬ С.А.С",Микрогинон; таблетки; 150 мкг + 30 мкг; N21; ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,Микрогинон таблетки 150 мкг + 30 мкг N21,ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,Микрогинон,таблетки,150 мкг + 30 мкг,N21,ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,multi_component_strength|manufacturer_deduped,,1,0,multi_component_strength,yes,yes,yes,,
14758,"ЛОЗАРТАН Н ТАБЛ. П/ПЛЕН/ОБ. 12,5МГ+100МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО","ЛОЗАРТАН Н; таблетки, покрытые пленочной оболочкой; 12.5 мг + 100 мг; N30; производитель: ОЗОН ООО",Лозартан Н; таблетки; 12.5 мг + 100 мг; N30; ОЗОН ООО,Лозартан Н таблетки 12.5 мг + 100 мг N30,ОЗОН ООО,Лозартан Н,таблетки,12.5 мг + 100 мг,N30,ОЗОН ООО,multi_component_strength|manufacturer_deduped,,2,0,multi_component_strength,yes,yes,yes,,
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО","ДЕКСАМЕТАЗОН-КРКА; таблетки; 4 мг; N20; производитель: КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО","Дексаметазон-Крка; таблетки; 4 мг; N20; КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон-Крка таблетки 4 мг N20,"КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон-Крка,таблетки,4 мг,N20,"КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",manufacturer_deduped|manufacturer_multi_entity,slash-separated manufacturer/MAH entities retained as one string,1,0,distinct_manufacturer_segments,yes,yes,yes,,
22468,"ВИДОРА МИКРО ТАБЛ. П/ПЛЕН/ОБ. 3МГ+0,02МГ №21+7 | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А. | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.","ВИДОРА МИКРО; таблетки, покрытые пленочной оболочкой; 3 мг + 0.02 мг; N21+7; производитель: ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.",Видора Микро; таблетки; 3 мг + 0.02 мг; N21+7; ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.,Видора Микро таблетки 3 мг + 0.02 мг N21+7,ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.,Видора Микро,таблетки,3 мг + 0.02 мг,N21+7,ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.,multi_component_strength|manufacturer_deduped,,1,0,multi_component_strength,yes,yes,yes,,
24750,АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ПЛЮС РЕНЕВАЛ ТАБЛ. 500МГ+25МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ПЛЮС РЕНЕВАЛ; таблетки; 500 мг + 25 мг; N20; производитель: ОБНОВЛЕНИЕ ПФК АО,Ацетилсалициловая Кислота Плюс Реневал; таблетки; 500 мг + 25 мг; N20; ОБНОВЛЕНИЕ ПФК АО,Ацетилсалициловая Кислота Плюс Реневал таблетки 500 мг + 25 мг N20,ОБНОВЛЕНИЕ ПФК АО,Ацетилсалициловая Кислота Плюс Реневал,таблетки,500 мг + 25 мг,N20,ОБНОВЛЕНИЕ ПФК АО,multi_component_strength|manufacturer_deduped,,1,0,multi_component_strength,yes,yes,yes,,
